profile	model	status	tok_s	eval_count	think_count	load_s	prompt_eval_s	total_s	vram_gb	size_gb
S	qwen3.5:9b-ctx80k	OK	65.2	300	179	22.12	39.072	65.80	8.79	8.79
L	qwen3.5:9b-ctx80k	OK	67.9	4096	2622	.61	.080	61.03	8.79	8.79
