profile	model	status	tok_s	eval_count	think_count	load_s	prompt_eval_s	total_s	vram_gb	size_gb
S	qwen3.6:27b-q8_0	OK	12.4	300	153	11.87	.284	36.25	30.85	30.85
L	qwen3.6:27b-q8_0	OK	18.1	2035	532	.58	.257	113.32	30.85	30.85
