profile	model	status	tok_s	eval_count	think_count	load_s	prompt_eval_s	total_s	vram_gb	size_gb
S	qwen3.6:27b-q8_0	OK	17.9	156	0	20.88	.308	29.87	30.85	30.85
L	qwen3.6:27b-q8_0	OK	18.1	1780	0	.70	.339	99.79	30.85	30.85
